layer,mAP50:95,mAP50,mAP75,mAP50:95-l,mAP50:95-m,mAP50:95-s,mAR50:95-1,mAR50:95-10,mAR50:95-100,mAR50:95-l,mAR50:95-m,mAR50:95-s
dla_up.ida_2.proj_1.conv_offset_mask,0.36596,0.54327,0.39191,0.53759,0.39891,0.16538,0.31181,0.50441,0.53061,0.74541,0.57439,0.29617
reg.2,0.366,0.54353,0.39192,0.53757,0.39915,0.16544,0.31158,0.50447,0.53074,0.74503,0.57458,0.29626
base.level3.tree1.root.conv,0.36623,0.54374,0.39193,0.53685,0.39915,0.16528,0.31194,0.50485,0.53126,0.74395,0.57469,0.29673
base.level2.project.0,0.36592,0.54354,0.39194,0.53773,0.39847,0.16555,0.31167,0.50426,0.53036,0.7456,0.57301,0.29634
base.level4.tree1.tree2.conv1,0.36607,0.54365,0.39195,0.53751,0.39926,0.16536,0.31153,0.5046,0.53064,0.74568,0.57459,0.29636
dla_up.ida_2.proj_2.deformconv2d,0.36604,0.54309,0.39197,0.53739,0.39872,0.16619,0.31147,0.50452,0.53076,0.74449,0.5741,0.29708
base.level3.tree1.tree1.conv2,0.36607,0.54346,0.39204,0.53743,0.39916,0.16568,0.31183,0.50459,0.53071,0.74498,0.57396,0.2963
dla_up.ida_1.proj_1.deformconv2d,0.36599,0.5438,0.39204,0.53702,0.39869,0.16555,0.31128,0.5042,0.53034,0.74552,0.57319,0.29676
base.level3.tree1.tree2.conv2,0.36597,0.54337,0.39207,0.5376,0.39902,0.16553,0.31138,0.50448,0.5308,0.7456,0.57453,0.29646
base.level4.tree1.tree2.conv2,0.36601,0.54361,0.39209,0.53725,0.39929,0.16571,0.31177,0.50422,0.53044,0.74339,0.57464,0.29633
dla_up.ida_2.node_1.deformconv2d,0.36605,0.54311,0.3921,0.5376,0.39906,0.16496,0.31161,0.5045,0.53068,0.74483,0.57446,0.29554
base.level5.tree2.conv1,0.36604,0.54351,0.39211,0.53779,0.3991,0.16583,0.31139,0.50464,0.53082,0.74519,0.57415,0.29646
base.level3.tree1.project.0,0.36608,0.54345,0.39218,0.53761,0.39919,0.16525,0.31154,0.50451,0.53082,0.74537,0.57426,0.29591
base.fc,0.36605,0.54349,0.39221,0.53764,0.39895,0.16544,0.31159,0.5045,0.53076,0.74513,0.57424,0.29643
base.level3.project.0,0.36605,0.54349,0.39221,0.53764,0.39895,0.16544,0.31159,0.5045,0.53076,0.74513,0.57424,0.29643
base.level4.project.0,0.36605,0.54349,0.39221,0.53764,0.39895,0.16544,0.31159,0.5045,0.53076,0.74513,0.57424,0.29643
base.level4.tree2.tree2.conv1,0.36626,0.54368,0.39221,0.53796,0.39941,0.16566,0.31167,0.50467,0.53091,0.74372,0.57522,0.29628
base.level5.tree1.conv2,0.366,0.54341,0.39222,0.53754,0.39885,0.16559,0.3118,0.50479,0.53089,0.74559,0.5742,0.29656
base.level5.tree2.conv2,0.36603,0.54352,0.39233,0.53746,0.39877,0.16549,0.31174,0.50457,0.53089,0.74519,0.57436,0.29668
base.level5.project.0,0.3662,0.54372,0.39234,0.53755,0.39896,0.16541,0.31179,0.50482,0.5311,0.74532,0.57491,0.2968
base.level2.root.conv,0.36614,0.54348,0.39241,0.53874,0.39875,0.16557,0.3114,0.50444,0.53097,0.74608,0.57506,0.29582
dla_up.ida_2.proj_2.conv_offset_mask,0.36594,0.54346,0.39243,0.53756,0.39918,0.16528,0.3116,0.50442,0.53052,0.74481,0.57403,0.29602
