,rmse,outlier,std,mAP50,mAP5095
model.backbone.conv_encoder.model.encoder.stages.3.layers.0.layer.0.convolution,0.008088293884481703,0.022089034765625,0.08987661973810912,0.525,0.344
model.backbone.conv_encoder.model.encoder.stages.3.layers.0.layer.1.convolution,0.004339084605730716,0.02222646828125,0.052080808373444254,0.439,0.27
model.backbone.conv_encoder.model.encoder.stages.3.layers.0.layer.2.convolution,0.019409955700948126,0.02177957125,0.08810147635603509,0.482,0.304
model.backbone.conv_encoder.model.encoder.stages.3.layers.1.layer.0.convolution,0.008488846676690238,0.02106655390625,0.296984418397528,0.578,0.383
model.backbone.conv_encoder.model.encoder.stages.3.layers.1.layer.1.convolution,0.00602277818446358,0.0252271425,0.06043741397473813,0.406,0.24
model.backbone.conv_encoder.model.encoder.stages.3.layers.1.layer.2.convolution,0.01493271772882768,0.0247529575,0.07565050999679977,0.461,0.28
model.backbone.conv_encoder.model.encoder.stages.3.layers.2.layer.0.convolution,0.009860042216522353,0.02585355890625,0.3246562584560504,0.58,0.384
model.backbone.conv_encoder.model.encoder.stages.3.layers.2.layer.1.convolution,0.004716407219391493,0.019321594375,0.052422721387883224,0.403,0.229
model.backbone.conv_encoder.model.encoder.stages.3.layers.2.layer.2.convolution,0.028496447241022474,0.0126549925,0.08183535515348092,0.527,0.346
model.input_projection,0.046191362220616566,0.01720279234375,0.2416925426365493,0.579,0.382
model.encoder.layers.0.self_attn.k_proj,0.09546356612727755,0.015363615,1.5459157207723224,0.58,0.385
model.encoder.layers.0.self_attn.v_proj,0.10380676140387853,0.0159697325,1.4945422309817584,0.58,0.385
model.encoder.layers.0.self_attn.q_proj,0.09892782888242177,0.015363615,1.5459157207723224,0.581,0.385
model.encoder.layers.0.self_attn.out_proj,0.02247297027636142,0.0106330375,0.2997236187606714,0.581,0.385
model.encoder.layers.0.fc1,0.05289520199100176,0.01256058875,1.2752168937550452,0.58,0.385
model.encoder.layers.0.fc2,0.010190518617275216,0.0102667959375,0.14248983022950887,0.58,0.385
model.encoder.layers.1.self_attn.k_proj,0.03110386103036858,0.00916042125,0.9467406339821131,0.58,0.385
model.encoder.layers.1.self_attn.v_proj,0.025013836012000128,0.01033079625,0.8276717755670172,0.582,0.386
model.encoder.layers.1.self_attn.q_proj,0.03252171849211057,0.00916042125,0.9467406339821131,0.581,0.385
model.encoder.layers.1.self_attn.out_proj,0.005949967740369695,0.009683525,0.2791309469001878,0.568,0.378
model.encoder.layers.1.fc1,0.054006359584274743,0.01332894625,1.2868829877023065,0.579,0.384
model.encoder.layers.1.fc2,0.010483238225181898,0.010887145625,0.15122228671814325,0.58,0.384
model.encoder.layers.2.self_attn.k_proj,0.024455749208018893,0.00911032375,0.8328653621410399,0.514,0.286
model.encoder.layers.2.self_attn.v_proj,0.020812751902710824,0.01110204875,0.677465942530195,0.58,0.384
model.encoder.layers.2.self_attn.q_proj,0.025101368359866597,0.00911032375,0.8328653621410399,0.581,0.384
model.encoder.layers.2.self_attn.out_proj,0.005186502755220447,0.0115009625,0.23057246833702827,0.572,0.376
model.encoder.layers.2.fc1,0.05139425680750892,0.01303864375,1.2239069688222997,0.579,0.384
model.encoder.layers.2.fc2,0.01189892025043567,0.0152834671875,0.17957695713988645,0.581,0.385
model.encoder.layers.3.self_attn.k_proj,0.028735889654074396,0.010553195,0.7468069602545365,0.532,0.311
model.encoder.layers.3.self_attn.v_proj,0.019402649164909407,0.0157055475,0.6033067555549002,0.581,0.387
model.encoder.layers.3.self_attn.q_proj,0.024598938634707815,0.010553195,0.7468069602545365,0.578,0.379
model.encoder.layers.3.self_attn.out_proj,0.00805444163935525,0.0144176175,0.37095878154186995,0.577,0.382
model.encoder.layers.3.fc1,0.0472524728448618,0.0159844575,1.2661503342316396,0.581,0.385
model.encoder.layers.3.fc2,0.016506576999312357,0.0184939765625,0.256704359549692,0.581,0.386
model.encoder.layers.4.self_attn.k_proj,0.02292939293242636,0.01353962375,0.7471860195543628,0.579,0.38
model.encoder.layers.4.self_attn.v_proj,0.014911518121759096,0.01794263625,0.6285648219138442,0.58,0.382
model.encoder.layers.4.self_attn.q_proj,0.02392754845675968,0.01353962375,0.7471860195543628,0.558,0.346
model.encoder.layers.4.self_attn.out_proj,0.006690806930973416,0.015703195,0.3028360587760997,0.577,0.375
model.encoder.layers.4.fc1,0.04871131603916486,0.013851915,1.5263671910181054,0.581,0.385
model.encoder.layers.4.fc2,0.007421877589963731,0.0130915590625,0.1433388624879676,0.581,0.384
model.encoder.layers.5.self_attn.k_proj,0.021038748856101717,0.0152440325,0.755588726234032,0.574,0.374
model.encoder.layers.5.self_attn.v_proj,0.014149756303855352,0.019134275,0.6395685938001707,0.577,0.379
model.encoder.layers.5.self_attn.q_proj,0.024988461108434768,0.0152440325,0.755588726234032,0.493,0.292
model.encoder.layers.5.self_attn.out_proj,0.0049886043804387254,0.02220762875,0.21847560675038102,0.561,0.353
model.encoder.layers.5.fc1,0.03215193145331882,0.01988108875,1.3374162570312422,0.579,0.383
model.encoder.layers.5.fc2,0.0033354601445829586,0.0080897053125,0.08013469329925244,0.581,0.385
model.decoder.layers.0.self_attn.k_proj,0.010050403885543346,0.002578125,0.989067010330524,0.581,0.385
model.decoder.layers.0.self_attn.v_proj,0.0,0.0,0.0,0.581,0.385
model.decoder.layers.0.self_attn.q_proj,0.011121765710413456,0.002578125,0.989067010330524,0.581,0.385
model.decoder.layers.0.self_attn.out_proj,0.0007323865429498255,0.0,0.07747603859310856,0.581,0.386
model.decoder.layers.0.encoder_attn.k_proj,0.024675875636083738,0.01051709,0.6849893851218789,0.571,0.38
model.decoder.layers.0.encoder_attn.v_proj,0.02684305395398821,0.0242705925,0.4878336316751757,0.581,0.385
model.decoder.layers.0.encoder_attn.q_proj,0.0318131148815155,0.0119140625,1.1739220649649476,0.581,0.386
model.decoder.layers.0.encoder_attn.out_proj,0.0220222965415035,0.009193609375,0.8204722254984549,0.58,0.384
model.decoder.layers.0.fc1,0.02770656187619482,0.015909,1.075483876546538,0.581,0.385
model.decoder.layers.0.fc2,0.005811380798972789,0.01286804296875,0.11990880276378263,0.581,0.385
model.decoder.layers.1.self_attn.k_proj,0.01906190777108783,0.0079859296875,1.2391993751807755,0.581,0.385
model.decoder.layers.1.self_attn.v_proj,0.011303151913342021,0.0183446171875,0.7451928228194666,0.581,0.385
model.decoder.layers.1.self_attn.q_proj,0.02041140180968103,0.0079859296875,1.2391993751807755,0.581,0.385
model.decoder.layers.1.self_attn.out_proj,0.006047862493211315,0.0186628359375,0.3611494252886412,0.58,0.385
model.decoder.layers.1.encoder_attn.k_proj,0.03270057961344719,0.01051709,0.6849893851218789,0.57,0.375
model.decoder.layers.1.encoder_attn.v_proj,0.022170581987925937,0.0242705925,0.4878336316751757,0.576,0.379
model.decoder.layers.1.encoder_attn.q_proj,0.04685658553526515,0.0135085078125,1.6450575715197486,0.58,0.385
model.decoder.layers.1.encoder_attn.out_proj,0.013358689312423979,0.006792703125,0.6499027496327419,0.578,0.381
model.decoder.layers.1.fc1,0.025049075218183652,0.0165946171875,1.152345859345161,0.58,0.385
model.decoder.layers.1.fc2,0.0047831542878633455,0.0116510419921875,0.10882852227027252,0.581,0.385
model.decoder.layers.2.self_attn.k_proj,0.02873468381308374,0.0096955390625,1.3896548620573261,0.58,0.385
model.decoder.layers.2.self_attn.v_proj,0.016822042475853647,0.017582703125,0.9788104306219652,0.581,0.385
model.decoder.layers.2.self_attn.q_proj,0.030186983357582773,0.0096955390625,1.3896548620573261,0.581,0.385
model.decoder.layers.2.self_attn.out_proj,0.004081704010743471,0.0149743515625,0.3591435644256374,0.58,0.384
model.decoder.layers.2.encoder_attn.k_proj,0.03253028399887539,0.01051709,0.6849893851218789,0.581,0.385
